seconds,x,y
399.0,1,56
400.0,2,55
401.0,2,55
402.0,2,55
403.0,4,53
404.0,1,56
405.0,1,56
406.0,2,55
407.0,3,54
408.0,3,54
409.0,3,54
410.0,3,55
411.0,3,55
412.0,3,54
413.0,3,55
414.0,3,55
415.0,2,56
416.0,2,56
417.0,3,55
418.0,2,56
419.0,1,57
420.0,2,56
421.0,2,56
422.0,1,57
423.0,4,55
424.0,2,56
425.0,2,56
426.0,4,54
427.0,4,55
428.0,4,55
429.0,4,55
430.0,3,55
431.0,6,52
432.0,4,54
433.0,4,54
434.0,6,52
435.0,3,56
436.0,1,59
437.0,3,55
438.0,1,59
439.0,3,56
440.0,3,56
441.0,3,56
442.0,3,56
443.0,3,57
444.0,3,56
445.0,3,56
446.0,3,56
447.0,3,57
448.0,3,57
449.0,3,57
450.0,3,57
451.0,2,57
452.0,2,57
453.0,2,57
454.0,2,57
455.0,3,57
456.0,3,57
457.0,3,57
458.0,3,57
459.0,3,57
460.0,3,57
461.0,3,57
462.0,3,57
463.0,2,57
464.0,2,57
465.0,2,57
466.0,2,57
467.0,2,57
468.0,2,57
469.0,2,57
470.0,2,57
471.0,3,57
472.0,3,57
473.0,2,57
474.0,3,57
475.0,3,57
476.0,3,57
477.0,3,57
478.0,3,57
479.0,3,57
480.0,2,57
481.0,2,57
482.0,2,57
483.0,2,57
484.0,2,57
485.0,2,57
486.0,2,57
487.0,2,57
488.0,2,57
489.0,2,57
490.0,2,57
491.0,2,57
492.0,2,57
493.0,2,57
494.0,2,57
495.0,2,57
496.0,2,57
497.0,3,57
498.0,3,57
499.0,3,57
500.0,3,57
501.0,2,57
502.0,2,57
503.0,2,57
504.0,2,57
505.0,2,58
506.0,2,57
507.0,2,57
508.0,2,57
509.0,2,57
510.0,2,58
511.0,2,58
512.0,2,58
513.0,2,58
514.0,2,58
515.0,2,58
516.0,2,58
517.0,2,58
518.0,2,58
519.0,2,58
520.0,2,58
521.0,2,58
522.0,2,58
523.0,2,58
524.0,2,58
525.0,2,59
526.0,2,59
527.0,2,59
528.0,2,59
529.0,2,59
530.0,2,59
531.0,2,59
532.0,2,59
533.0,2,60
534.0,2,59
535.0,2,59
536.0,2,59
537.0,2,59
538.0,2,59
539.0,2,59
540.0,2,59
541.0,2,60
542.0,2,59
543.0,2,59
544.0,2,59
545.0,2,59
546.0,2,60
547.0,2,60
548.0,2,59
549.0,2,60
550.0,2,60
551.0,2,60
552.0,2,60
553.0,1,61
554.0,2,60
555.0,1,61
556.0,2,60
557.0,2,61
558.0,1,61
559.0,1,61
560.0,1,61
561.0,1,61
562.0,1,61
563.0,1,61
564.0,1,61
565.0,1,61
566.0,1,61
567.0,1,61
568.0,1,61
569.0,1,61
570.0,1,61
571.0,1,61
572.0,1,61
573.0,2,61
574.0,1,61
575.0,1,61
576.0,1,61
577.0,2,61
578.0,2,61
579.0,2,61
580.0,2,61
581.0,2,61
582.0,2,61
583.0,2,61
584.0,2,61
585.0,2,61
586.0,2,61
587.0,2,61
588.0,1,61
589.0,2,61
590.0,2,61
591.0,2,61
592.0,2,61
593.0,2,61
594.0,2,61
595.0,2,61
596.0,2,61
597.0,2,61
598.0,2,61
599.0,2,61
600.0,2,61
601.0,2,61
602.0,2,61
603.0,2,61
604.0,2,61
605.0,2,61
606.0,2,61
607.0,2,61
608.0,2,61
609.0,2,61
610.0,2,61
611.0,2,61
612.0,2,61
613.0,2,61
614.0,2,61
615.0,2,61
616.0,2,61
617.0,2,61
618.0,2,61
619.0,2,61
620.0,2,61
621.0,2,62
622.0,2,61
623.0,2,61
624.0,2,61
625.0,2,62
626.0,2,62
627.0,2,62
628.0,2,62
629.0,2,62
630.0,2,62
631.0,2,62
632.0,2,62
633.0,2,62
634.0,2,62
635.0,2,62
636.0,2,62
637.0,2,62
638.0,2,62
639.0,2,62
640.0,2,62
641.0,2,62
642.0,2,62
643.0,2,62
644.0,2,62
